[2026-09-12T19:10:10.710Z] GET http://localhost:5173/assets/screens/genfit-workout.png → 200 (4ms, 388854B)
[2026-09-12T19:10:10.710Z] GET http://localhost:5173/assets/screens/genfit-confirm-food.png → 200 (5ms, 1075811B)
[2026-09-12T19:26:17.783Z] GET http://localhost:5173/genfit/ → 200 (59ms, ?B)
[2026-09-12T19:26:17.968Z] GET https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Nunito:wght@400;500;600;700;800;900&display=swap → 200 (4ms, 16182B)
[2026-09-12T19:26:17.969Z] GET http://localhost:5173/styles.css → 200 (1ms, 4566B)
[2026-09-12T19:26:17.970Z] GET http://localhost:5173/app.js → 200 (?ms, 4949B)
[2026-09-12T19:26:18.011Z] GET https://fonts.gstatic.com/s/fredoka/v17/X7n64b87HvSqjb_WIi2yDCRwoQ_k7367_DWu89XgHPyh.woff2 → 200 (?ms, ?B)
[2026-09-12T19:26:18.011Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (?ms, ?B)
[2026-09-12T19:26:18.028Z] GET http://localhost:5173/assets/screens/genfit-nutrition.png → 200 (?ms, 307492B)
[2026-09-12T19:26:18.028Z] GET http://localhost:5173/assets/screens/genfit-workout.png → 200 (?ms, 388854B)
[2026-09-12T19:26:18.028Z] GET http://localhost:5173/assets/screens/genfit-confirm-food.png → 200 (1ms, 1075811B)
[2026-09-12T19:26:18.090Z] GET http://localhost:5173/assets/screens/genfit-weekly.png → 200 (10ms, 325625B)
[2026-09-12T19:29:12.084Z] GET http://localhost:5173/genfit/ → pending (?ms, ?B)
[2026-09-12T19:29:12.101Z] GET https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Nunito:wght@400;500;600;700;800;900&display=swap → 200 (1ms, 16182B)
[2026-09-12T19:29:12.102Z] GET http://localhost:5173/styles.css → 200 (?ms, 4566B)
[2026-09-12T19:29:12.102Z] GET http://localhost:5173/app.js → 200 (1ms, 4949B)
[2026-09-12T19:29:12.104Z] GET http://localhost:5173/assets/screens/genfit-nutrition.png → 200 (?ms, 307492B)
[2026-09-12T19:29:12.104Z] GET http://localhost:5173/assets/screens/genfit-workout.png → 200 (?ms, 388854B)
[2026-09-12T19:29:12.105Z] GET http://localhost:5173/assets/screens/genfit-confirm-food.png → 200 (?ms, 1075811B)
[2026-09-12T19:29:12.105Z] GET http://localhost:5173/assets/screens/genfit-weekly.png → 200 (?ms, 325625B)
[2026-09-12T19:29:12.127Z] GET https://fonts.gstatic.com/s/fredoka/v17/X7n64b87HvSqjb_WIi2yDCRwoQ_k7367_DWu89XgHPyh.woff2 → 200 (?ms, ?B)
[2026-09-12T19:29:12.127Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (?ms, ?B)
[2026-09-12T19:30:23.490Z] GET http://localhost:5173/ → 200 (10ms, 81487B)
[2026-09-12T19:30:23.501Z] GET https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Hind+Siliguri:wght@500;600;700&family=Nunito:wght@400;500;600;700;800;900&display=swap → 200 (1ms, 20136B)
[2026-09-12T19:30:23.501Z] GET http://localhost:5173/styles.css → 200 (?ms, 4566B)
[2026-09-12T19:30:23.502Z] GET http://localhost:5173/assets/cv.jpeg → 200 (1ms, 26092B)
[2026-09-12T19:30:23.502Z] GET http://localhost:5173/app.js → 200 (?ms, 4949B)
[2026-09-12T19:30:23.505Z] GET http://localhost:5173/assets/screens/genfit-nutrition.png → 200 (1ms, 307492B)
[2026-09-12T19:30:23.507Z] GET http://localhost:5173/assets/screens/genfit-workout.png → 200 (1ms, 388854B)
[2026-09-12T19:30:23.508Z] GET http://localhost:5173/assets/screens/genfit-confirm-food.png → 200 (?ms, 1075811B)
[2026-09-12T19:30:23.555Z] GET https://fonts.gstatic.com/s/fredoka/v17/X7n64b87HvSqjb_WIi2yDCRwoQ_k7367_DWu89XgHPyh.woff2 → 200 (?ms, ?B)
[2026-09-12T19:30:23.555Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (?ms, ?B)
[2026-09-12T19:30:23.555Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0uYVKwOs1to.woff2 → 200 (1ms, 8072B)
[2026-09-12T19:30:23.555Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0vQVKwOs1tqhwg.woff2 → 200 (1ms, 39644B)
[2026-09-12T19:30:24.716Z] GET http://localhost:5173/mobile/ → 200 (3ms, 103339B)
[2026-09-12T19:30:24.723Z] GET https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Hind+Siliguri:wght@500;600;700&family=Nunito:wght@400;500;600;700;800;900&display=swap → 200 (1ms, 20136B)
[2026-09-12T19:30:24.724Z] GET http://localhost:5173/styles.css → 200 (?ms, 4566B)
[2026-09-12T19:30:24.724Z] GET http://localhost:5173/assets/cv.jpeg → 200 (1ms, 26092B)
[2026-09-12T19:30:24.725Z] GET http://localhost:5173/app.js → 200 (?ms, 4949B)
[2026-09-12T19:30:24.726Z] GET http://localhost:5173/assets/screens/genfit-nutrition.png → 200 (1ms, 307492B)
[2026-09-12T19:30:24.727Z] GET http://localhost:5173/assets/screens/genfit-workout.png → 200 (?ms, 388854B)
[2026-09-12T19:30:24.727Z] GET http://localhost:5173/assets/screens/genfit-confirm-food.png → 200 (?ms, 1075811B)
[2026-09-12T19:30:24.755Z] GET https://fonts.gstatic.com/s/fredoka/v17/X7n64b87HvSqjb_WIi2yDCRwoQ_k7367_DWu89XgHPyh.woff2 → 200 (1ms, ?B)
[2026-09-12T19:30:24.756Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0vQVKwOs1tqhwg.woff2 → 200 (?ms, ?B)
[2026-09-12T19:30:24.756Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0uYVKwOs1to.woff2 → 200 (?ms, ?B)
[2026-09-12T19:30:24.757Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (?ms, ?B)
[2026-09-12T19:30:24.757Z] GET http://localhost:5173/assets/foodier.jpg → 200 (1ms, 853566B)
[2026-09-12T19:30:24.757Z] GET http://localhost:5173/assets/cfl.jpg → 200 (1ms, 944312B)
